[2026-05-17 17:49:51] PRICE=0.00050850 | MC=508516 | LIQ=57785 | B1h=3802 S1h=983 | B6h=9192 S6h=1708
[2026-05-17 17:49:56] PRICE=0.00051120 | MC=511280 | LIQ=57955 | B1h=3836 S1h=997 | B6h=9226 S6h=1722
[2026-05-17 17:50:01] PRICE=0.00051120 | MC=511280 | LIQ=57955 | B1h=3836 S1h=997 | B6h=9226 S6h=1722
[2026-05-17 17:50:07] PRICE=0.00051120 | MC=511280 | LIQ=57955 | B1h=3836 S1h=997 | B6h=9226 S6h=1722
[2026-05-17 17:50:12] PRICE=0.00051120 | MC=511280 | LIQ=57955 | B1h=3836 S1h=997 | B6h=9226 S6h=1722
[2026-05-17 17:50:17] PRICE=0.00051120 | MC=511280 | LIQ=57955 | B1h=3836 S1h=997 | B6h=9226 S6h=1722
[2026-05-17 17:50:22] PRICE=0.00051950 | MC=519557 | LIQ=58420 | B1h=3800 S1h=1006 | B6h=9274 S6h=1740
[2026-05-17 17:50:27] PRICE=0.00051950 | MC=519557 | LIQ=58420 | B1h=3800 S1h=1006 | B6h=9274 S6h=1740
[2026-05-17 17:50:33] PRICE=0.00051950 | MC=519557 | LIQ=58420 | B1h=3800 S1h=1006 | B6h=9274 S6h=1740
[2026-05-17 17:50:38] PRICE=0.00051950 | MC=519557 | LIQ=58420 | B1h=3800 S1h=1006 | B6h=9274 S6h=1740
[2026-05-17 17:50:43] PRICE=0.00051950 | MC=519557 | LIQ=58420 | B1h=3800 S1h=1006 | B6h=9274 S6h=1740
[2026-05-17 17:50:48] PRICE=0.00051950 | MC=519557 | LIQ=58420 | B1h=3800 S1h=1006 | B6h=9274 S6h=1740
[2026-05-17 17:50:54] PRICE=0.00051940 | MC=519407 | LIQ=58404 | B1h=3824 S1h=1009 | B6h=9298 S6h=1743
[2026-05-17 17:50:59] PRICE=0.00051940 | MC=519407 | LIQ=58404 | B1h=3824 S1h=1009 | B6h=9298 S6h=1743
[2026-05-17 17:51:04] PRICE=0.00051940 | MC=519407 | LIQ=58404 | B1h=3824 S1h=1009 | B6h=9298 S6h=1743
[2026-05-17 17:51:09] PRICE=0.00051940 | MC=519407 | LIQ=58404 | B1h=3824 S1h=1009 | B6h=9298 S6h=1743
[2026-05-17 17:51:14] PRICE=0.00051940 | MC=519407 | LIQ=58404 | B1h=3824 S1h=1009 | B6h=9298 S6h=1743
[2026-05-17 17:51:19] PRICE=0.00051940 | MC=519407 | LIQ=58404 | B1h=3824 S1h=1009 | B6h=9298 S6h=1743
[2026-05-17 17:51:25] PRICE=0.00051980 | MC=519869 | LIQ=58430 | B1h=3769 S1h=1010 | B6h=9334 S6h=1754
[2026-05-17 17:51:30] PRICE=0.00051980 | MC=519869 | LIQ=58430 | B1h=3769 S1h=1010 | B6h=9334 S6h=1754
[2026-05-17 17:51:35] PRICE=0.00051980 | MC=519869 | LIQ=58430 | B1h=3769 S1h=1010 | B6h=9334 S6h=1754
[2026-05-17 17:51:40] PRICE=0.00051980 | MC=519869 | LIQ=58430 | B1h=3769 S1h=1010 | B6h=9334 S6h=1754
[2026-05-17 17:51:45] PRICE=0.00051980 | MC=519869 | LIQ=58430 | B1h=3769 S1h=1010 | B6h=9334 S6h=1754
[2026-05-17 17:51:50] PRICE=0.00051980 | MC=519869 | LIQ=58430 | B1h=3769 S1h=1010 | B6h=9334 S6h=1754
[2026-05-17 17:51:56] PRICE=0.00054730 | MC=547399 | LIQ=59932 | B1h=3812 S1h=1015 | B6h=9377 S6h=1759
[2026-05-17 17:52:01] PRICE=0.00054730 | MC=547399 | LIQ=59932 | B1h=3812 S1h=1015 | B6h=9377 S6h=1759
[2026-05-17 17:52:06] PRICE=0.00054730 | MC=547399 | LIQ=59932 | B1h=3812 S1h=1015 | B6h=9377 S6h=1759
[2026-05-17 17:52:11] PRICE=0.00054730 | MC=547399 | LIQ=59932 | B1h=3812 S1h=1015 | B6h=9377 S6h=1759
[2026-05-17 17:52:16] PRICE=0.00054730 | MC=547399 | LIQ=59932 | B1h=3812 S1h=1015 | B6h=9377 S6h=1759
[2026-05-17 17:52:21] PRICE=0.00054730 | MC=547399 | LIQ=59932 | B1h=3812 S1h=1015 | B6h=9377 S6h=1759
[2026-05-17 17:52:27] PRICE=0.00054250 | MC=542596 | LIQ=59679 | B1h=3744 S1h=1015 | B6h=9410 S6h=1768
[2026-05-17 17:52:32] PRICE=0.00054250 | MC=542596 | LIQ=59679 | B1h=3744 S1h=1015 | B6h=9410 S6h=1768
[2026-05-17 17:52:37] PRICE=0.00054250 | MC=542596 | LIQ=59679 | B1h=3744 S1h=1015 | B6h=9410 S6h=1768
[2026-05-17 17:52:42] PRICE=0.00054250 | MC=542596 | LIQ=59679 | B1h=3744 S1h=1015 | B6h=9410 S6h=1768
[2026-05-17 17:52:47] PRICE=0.00054250 | MC=542596 | LIQ=59679 | B1h=3744 S1h=1015 | B6h=9410 S6h=1768
[2026-05-17 17:52:52] PRICE=0.00054250 | MC=542596 | LIQ=59679 | B1h=3744 S1h=1015 | B6h=9410 S6h=1768
[2026-05-17 17:52:58] PRICE=0.00055390 | MC=553990 | LIQ=60263 | B1h=3776 S1h=1018 | B6h=9442 S6h=1771
[2026-05-17 17:53:03] PRICE=0.00055390 | MC=553990 | LIQ=60263 | B1h=3776 S1h=1018 | B6h=9442 S6h=1771
[2026-05-17 17:53:08] PRICE=0.00055390 | MC=553990 | LIQ=60263 | B1h=3776 S1h=1018 | B6h=9442 S6h=1771
[2026-05-17 17:53:13] PRICE=0.00055390 | MC=553990 | LIQ=60263 | B1h=3776 S1h=1018 | B6h=9442 S6h=1771
