[2026-05-19 18:44:04] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:44:09] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:44:14] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:44:19] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:44:25] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:44:30] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:44:35] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:44:40] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:44:45] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:44:51] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:44:56] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:45:01] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:45:06] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:45:12] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:45:17] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:45:22] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:45:27] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:45:32] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:45:37] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:45:43] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:45:48] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:45:53] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:45:58] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:03] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:08] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:14] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:19] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:24] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:29] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:35] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:40] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:45] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:50] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:46:55] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:47:01] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:47:06] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:47:11] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:47:16] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:47:21] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:47:27] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:47:32] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:47:37] PRICE=0.00070420 | MC=704218 | LIQ=70210 | B1h=22 S1h=13 | B6h=22 S6h=13
[2026-05-19 18:47:42] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:47:47] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:47:53] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:47:58] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:03] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:08] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:14] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:19] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:24] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:29] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:34] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:39] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:45] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:50] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:48:55] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
[2026-05-19 18:49:00] PRICE=0.00070360 | MC=703665 | LIQ=70183 | B1h=22 S1h=14 | B6h=22 S6h=14
