[2026-05-17 14:33:58] PRICE=0.00038030 | MC=380371 | LIQ=0 | B1h=9221 S1h=7299 | B6h=21253 S6h=18693
[2026-05-17 14:34:03] PRICE=0.00038030 | MC=380371 | LIQ=0 | B1h=9221 S1h=7299 | B6h=21253 S6h=18693
[2026-05-17 14:34:08] PRICE=0.00038030 | MC=380371 | LIQ=0 | B1h=9221 S1h=7299 | B6h=21253 S6h=18693
[2026-05-17 14:34:13] PRICE=0.00038030 | MC=380371 | LIQ=0 | B1h=9221 S1h=7299 | B6h=21253 S6h=18693
[2026-05-17 14:34:18] PRICE=0.00035510 | MC=355178 | LIQ=0 | B1h=9235 S1h=7311 | B6h=21267 S6h=18705
[2026-05-17 14:34:24] PRICE=0.00035510 | MC=355178 | LIQ=0 | B1h=9235 S1h=7311 | B6h=21267 S6h=18705
[2026-05-17 14:34:29] PRICE=0.00035510 | MC=355178 | LIQ=0 | B1h=9235 S1h=7311 | B6h=21267 S6h=18705
[2026-05-17 14:34:34] PRICE=0.00035510 | MC=355178 | LIQ=0 | B1h=9235 S1h=7311 | B6h=21267 S6h=18705
[2026-05-17 14:34:39] PRICE=0.00035510 | MC=355178 | LIQ=0 | B1h=9235 S1h=7311 | B6h=21267 S6h=18705
[2026-05-17 14:34:44] PRICE=0.00035510 | MC=355178 | LIQ=0 | B1h=9235 S1h=7311 | B6h=21267 S6h=18705
[2026-05-17 14:34:49] PRICE=0.00036790 | MC=367985 | LIQ=0 | B1h=8958 S1h=7053 | B6h=21295 S6h=18734
[2026-05-17 14:34:55] PRICE=0.00036790 | MC=367985 | LIQ=0 | B1h=8958 S1h=7053 | B6h=21295 S6h=18734
[2026-05-17 14:35:00] PRICE=0.00036790 | MC=367985 | LIQ=0 | B1h=8958 S1h=7053 | B6h=21295 S6h=18734
[2026-05-17 14:35:05] PRICE=0.00036790 | MC=367985 | LIQ=0 | B1h=8958 S1h=7053 | B6h=21295 S6h=18734
[2026-05-17 14:35:10] PRICE=0.00036790 | MC=367985 | LIQ=0 | B1h=8958 S1h=7053 | B6h=21295 S6h=18734
[2026-05-17 14:35:15] PRICE=0.00036790 | MC=367985 | LIQ=0 | B1h=8958 S1h=7053 | B6h=21295 S6h=18734
[2026-05-17 14:35:20] PRICE=0.00033070 | MC=330771 | LIQ=0 | B1h=8813 S1h=6939 | B6h=21331 S6h=18757
