[2026-05-19 19:25:37] PRICE=0.00028020 | MC=280216 | LIQ=44312 | B1h=2590 S1h=1913 | B6h=10138 S6h=7996
[2026-05-19 19:25:42] PRICE=0.00028020 | MC=280216 | LIQ=44312 | B1h=2590 S1h=1913 | B6h=10138 S6h=7996
[2026-05-19 19:25:48] PRICE=0.00028020 | MC=280216 | LIQ=44312 | B1h=2590 S1h=1913 | B6h=10138 S6h=7996
[2026-05-19 19:25:53] PRICE=0.00027440 | MC=274431 | LIQ=43884 | B1h=2608 S1h=1929 | B6h=10156 S6h=8012
[2026-05-19 19:25:59] PRICE=0.00027440 | MC=274431 | LIQ=43884 | B1h=2608 S1h=1929 | B6h=10156 S6h=8012
[2026-05-19 19:26:04] PRICE=0.00027440 | MC=274431 | LIQ=43884 | B1h=2608 S1h=1929 | B6h=10156 S6h=8012
[2026-05-19 19:26:09] PRICE=0.00027440 | MC=274431 | LIQ=43884 | B1h=2608 S1h=1929 | B6h=10156 S6h=8012
[2026-05-19 19:26:14] PRICE=0.00027440 | MC=274431 | LIQ=43884 | B1h=2608 S1h=1929 | B6h=10156 S6h=8012
[2026-05-19 19:26:20] PRICE=0.00027440 | MC=274431 | LIQ=43884 | B1h=2608 S1h=1929 | B6h=10156 S6h=8012
[2026-05-19 19:26:25] PRICE=0.00027690 | MC=276972 | LIQ=44102 | B1h=2537 S1h=1834 | B6h=10183 S6h=8034
[2026-05-19 19:26:31] PRICE=0.00027690 | MC=276972 | LIQ=44102 | B1h=2537 S1h=1834 | B6h=10183 S6h=8034
[2026-05-19 19:26:36] PRICE=0.00027690 | MC=276972 | LIQ=44102 | B1h=2537 S1h=1834 | B6h=10183 S6h=8034
[2026-05-19 19:26:41] PRICE=0.00027690 | MC=276972 | LIQ=44102 | B1h=2537 S1h=1834 | B6h=10183 S6h=8034
[2026-05-19 19:26:46] PRICE=0.00027690 | MC=276972 | LIQ=44102 | B1h=2537 S1h=1834 | B6h=10183 S6h=8034
[2026-05-19 19:26:52] PRICE=0.00026650 | MC=266522 | LIQ=43254 | B1h=2544 S1h=1838 | B6h=10190 S6h=8038
[2026-05-19 19:26:58] PRICE=0.00026650 | MC=266522 | LIQ=43254 | B1h=2544 S1h=1838 | B6h=10190 S6h=8038
[2026-05-19 19:27:03] PRICE=0.00026650 | MC=266522 | LIQ=43254 | B1h=2544 S1h=1838 | B6h=10190 S6h=8038
[2026-05-19 19:27:08] PRICE=0.00026650 | MC=266522 | LIQ=43254 | B1h=2544 S1h=1838 | B6h=10190 S6h=8038
[2026-05-19 19:27:13] PRICE=0.00026650 | MC=266522 | LIQ=43254 | B1h=2544 S1h=1838 | B6h=10190 S6h=8038
[2026-05-19 19:27:19] PRICE=0.00026650 | MC=266522 | LIQ=43254 | B1h=2544 S1h=1838 | B6h=10190 S6h=8038
[2026-05-19 19:27:24] PRICE=0.00027150 | MC=271548 | LIQ=43656 | B1h=2471 S1h=1780 | B6h=10200 S6h=8043
[2026-05-19 19:27:30] PRICE=0.00027150 | MC=271548 | LIQ=43656 | B1h=2471 S1h=1780 | B6h=10200 S6h=8043
[2026-05-19 19:27:35] PRICE=0.00027150 | MC=271548 | LIQ=43656 | B1h=2471 S1h=1780 | B6h=10200 S6h=8043
[2026-05-19 19:27:40] PRICE=0.00027150 | MC=271548 | LIQ=43656 | B1h=2471 S1h=1780 | B6h=10200 S6h=8043
[2026-05-19 19:27:45] PRICE=0.00027150 | MC=271548 | LIQ=43656 | B1h=2471 S1h=1780 | B6h=10200 S6h=8043
[2026-05-19 19:27:51] PRICE=0.00027150 | MC=271548 | LIQ=43656 | B1h=2471 S1h=1780 | B6h=10200 S6h=8043
[2026-05-19 19:27:57] PRICE=0.00026780 | MC=267830 | LIQ=43372 | B1h=2472 S1h=1784 | B6h=10201 S6h=8047
[2026-05-19 19:28:02] PRICE=0.00026780 | MC=267830 | LIQ=43372 | B1h=2472 S1h=1784 | B6h=10201 S6h=8047
[2026-05-19 19:28:07] PRICE=0.00026780 | MC=267830 | LIQ=43372 | B1h=2472 S1h=1784 | B6h=10201 S6h=8047
[2026-05-19 19:28:12] PRICE=0.00026780 | MC=267830 | LIQ=43372 | B1h=2472 S1h=1784 | B6h=10201 S6h=8047
[2026-05-19 19:28:18] PRICE=0.00026780 | MC=267830 | LIQ=43372 | B1h=2472 S1h=1784 | B6h=10201 S6h=8047
[2026-05-19 19:28:23] PRICE=0.00026740 | MC=267476 | LIQ=43352 | B1h=2423 S1h=1753 | B6h=10211 S6h=8053
[2026-05-19 19:28:29] PRICE=0.00026740 | MC=267476 | LIQ=43352 | B1h=2423 S1h=1753 | B6h=10211 S6h=8053
[2026-05-19 19:28:34] PRICE=0.00026740 | MC=267476 | LIQ=43352 | B1h=2423 S1h=1753 | B6h=10211 S6h=8053
[2026-05-19 19:28:39] PRICE=0.00026740 | MC=267476 | LIQ=43352 | B1h=2423 S1h=1753 | B6h=10211 S6h=8053
[2026-05-19 19:28:44] PRICE=0.00026740 | MC=267476 | LIQ=43352 | B1h=2423 S1h=1753 | B6h=10211 S6h=8053
[2026-05-19 19:28:49] PRICE=0.00026740 | MC=267476 | LIQ=43352 | B1h=2423 S1h=1753 | B6h=10211 S6h=8053
[2026-05-19 19:28:55] PRICE=0.00023450 | MC=234515 | LIQ=40615 | B1h=2449 S1h=1775 | B6h=10237 S6h=8075
[2026-05-19 19:29:01] PRICE=0.00023450 | MC=234515 | LIQ=40615 | B1h=2449 S1h=1775 | B6h=10237 S6h=8075
[2026-05-19 19:29:06] PRICE=0.00023450 | MC=234515 | LIQ=40615 | B1h=2449 S1h=1775 | B6h=10237 S6h=8075
[2026-05-19 19:29:11] PRICE=0.00023450 | MC=234515 | LIQ=40615 | B1h=2449 S1h=1775 | B6h=10237 S6h=8075
[2026-05-19 19:29:16] PRICE=0.00023450 | MC=234515 | LIQ=40615 | B1h=2449 S1h=1775 | B6h=10237 S6h=8075
[2026-05-19 19:29:22] PRICE=0.00023450 | MC=234515 | LIQ=40615 | B1h=2449 S1h=1775 | B6h=10237 S6h=8075
[2026-05-19 19:29:27] PRICE=0.00023570 | MC=235795 | LIQ=40734 | B1h=2428 S1h=1753 | B6h=10268 S6h=8086
[2026-05-19 19:29:33] PRICE=0.00023570 | MC=235795 | LIQ=40734 | B1h=2428 S1h=1753 | B6h=10268 S6h=8086
[2026-05-19 19:29:38] PRICE=0.00023570 | MC=235795 | LIQ=40734 | B1h=2428 S1h=1753 | B6h=10268 S6h=8086
[2026-05-19 19:29:43] PRICE=0.00023570 | MC=235795 | LIQ=40734 | B1h=2428 S1h=1753 | B6h=10268 S6h=8086
[2026-05-19 19:29:48] PRICE=0.00023570 | MC=235795 | LIQ=40734 | B1h=2428 S1h=1753 | B6h=10268 S6h=8086
[2026-05-19 19:29:54] PRICE=0.00023520 | MC=235272 | LIQ=40690 | B1h=2442 S1h=1770 | B6h=10282 S6h=8103
[2026-05-19 19:30:00] PRICE=0.00023520 | MC=235272 | LIQ=40690 | B1h=2442 S1h=1770 | B6h=10282 S6h=8103
[2026-05-19 19:30:05] PRICE=0.00023520 | MC=235272 | LIQ=40690 | B1h=2442 S1h=1770 | B6h=10282 S6h=8103
[2026-05-19 19:30:10] PRICE=0.00023520 | MC=235272 | LIQ=40690 | B1h=2442 S1h=1770 | B6h=10282 S6h=8103
[2026-05-19 19:30:15] PRICE=0.00023520 | MC=235272 | LIQ=40690 | B1h=2442 S1h=1770 | B6h=10282 S6h=8103
[2026-05-19 19:30:21] PRICE=0.00023520 | MC=235272 | LIQ=40690 | B1h=2442 S1h=1770 | B6h=10282 S6h=8103
[2026-05-19 19:30:26] PRICE=0.00024300 | MC=243002 | LIQ=41361 | B1h=2398 S1h=1744 | B6h=10291 S6h=8108
[2026-05-19 19:30:32] PRICE=0.00024300 | MC=243002 | LIQ=41361 | B1h=2398 S1h=1744 | B6h=10291 S6h=8108
[2026-05-19 19:30:37] PRICE=0.00024300 | MC=243002 | LIQ=41361 | B1h=2398 S1h=1744 | B6h=10291 S6h=8108
[2026-05-19 19:30:42] PRICE=0.00024300 | MC=243002 | LIQ=41361 | B1h=2398 S1h=1744 | B6h=10291 S6h=8108
[2026-05-19 19:30:47] PRICE=0.00024300 | MC=243002 | LIQ=41361 | B1h=2398 S1h=1744 | B6h=10291 S6h=8108
[2026-05-19 19:30:53] PRICE=0.00024300 | MC=243002 | LIQ=41361 | B1h=2398 S1h=1744 | B6h=10291 S6h=8108
[2026-05-19 19:30:58] PRICE=0.00020900 | MC=209033 | LIQ=38393 | B1h=2433 S1h=1779 | B6h=10326 S6h=8143
[2026-05-19 19:31:04] PRICE=0.00020900 | MC=209033 | LIQ=38393 | B1h=2433 S1h=1779 | B6h=10326 S6h=8143
[2026-05-19 19:31:09] PRICE=0.00020900 | MC=209033 | LIQ=38393 | B1h=2433 S1h=1779 | B6h=10326 S6h=8143
[2026-05-19 19:31:14] PRICE=0.00020900 | MC=209033 | LIQ=38393 | B1h=2433 S1h=1779 | B6h=10326 S6h=8143
[2026-05-19 19:31:19] PRICE=0.00020900 | MC=209033 | LIQ=38393 | B1h=2433 S1h=1779 | B6h=10326 S6h=8143
[2026-05-19 19:31:25] PRICE=0.00021000 | MC=210008 | LIQ=38509 | B1h=2422 S1h=1760 | B6h=10361 S6h=8160
[2026-05-19 19:31:30] PRICE=0.00021000 | MC=210008 | LIQ=38509 | B1h=2422 S1h=1760 | B6h=10361 S6h=8160
[2026-05-19 19:31:35] PRICE=0.00021000 | MC=210008 | LIQ=38509 | B1h=2422 S1h=1760 | B6h=10361 S6h=8160
[2026-05-19 19:31:40] PRICE=0.00021000 | MC=210008 | LIQ=38509 | B1h=2422 S1h=1760 | B6h=10361 S6h=8160
