[2026-05-19 22:23:32] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:37] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:42] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:48] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:53] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:23:58] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:24:03] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:24:08] PRICE=0.00233400 | MC=2334447 | LIQ=110527 | B1h=12 S1h=3 | B6h=13 S6h=3
[2026-05-19 22:24:13] PRICE=0.00233400 | MC=2334307 | LIQ=110524 | B1h=12 S1h=4 | B6h=13 S6h=4
[2026-05-19 22:24:19] PRICE=0.00233400 | MC=2334307 | LIQ=110524 | B1h=12 S1h=4 | B6h=13 S6h=4
[2026-05-19 22:24:24] PRICE=0.00233400 | MC=2334307 | LIQ=110524 | B1h=12 S1h=4 | B6h=13 S6h=4
[2026-05-19 22:24:29] PRICE=0.00233400 | MC=2334307 | LIQ=110524 | B1h=12 S1h=4 | B6h=13 S6h=4
[2026-05-19 22:24:34] PRICE=0.00233400 | MC=2334307 | LIQ=110524 | B1h=12 S1h=4 | B6h=13 S6h=4
[2026-05-19 22:24:39] PRICE=0.00233400 | MC=2334307 | LIQ=110524 | B1h=12 S1h=4 | B6h=13 S6h=4
[2026-05-19 22:24:44] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:24:50] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:24:55] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:00] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:05] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:10] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:15] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:21] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:26] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:31] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:36] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:41] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:47] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:52] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:25:57] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:26:02] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:26:07] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:26:12] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:26:18] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:26:23] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:26:28] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:26:33] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:26:38] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:26:43] PRICE=0.00233500 | MC=2335276 | LIQ=110547 | B1h=14 S1h=4 | B6h=15 S6h=4
[2026-05-19 22:26:49] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:26:54] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:26:59] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:27:04] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:27:09] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:27:14] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:27:19] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
