[2026-05-19 17:28:13] PRICE=0.00236700 | MC=2367448 | LIQ=123818 | B1h=1088 S1h=907 | B6h=12793 S6h=9524
[2026-05-19 17:28:18] PRICE=0.00236700 | MC=2367448 | LIQ=123818 | B1h=1088 S1h=907 | B6h=12793 S6h=9524
[2026-05-19 17:28:23] PRICE=0.00242400 | MC=2424755 | LIQ=125325 | B1h=1085 S1h=897 | B6h=12806 S6h=9527
[2026-05-19 17:28:28] PRICE=0.00242400 | MC=2424755 | LIQ=125325 | B1h=1085 S1h=897 | B6h=12806 S6h=9527
[2026-05-19 17:28:33] PRICE=0.00242400 | MC=2424755 | LIQ=125325 | B1h=1085 S1h=897 | B6h=12806 S6h=9527
[2026-05-19 17:28:39] PRICE=0.00242400 | MC=2424755 | LIQ=125325 | B1h=1085 S1h=897 | B6h=12806 S6h=9527
[2026-05-19 17:28:44] PRICE=0.00242400 | MC=2424755 | LIQ=125325 | B1h=1085 S1h=897 | B6h=12806 S6h=9527
[2026-05-19 17:28:49] PRICE=0.00242400 | MC=2424755 | LIQ=125325 | B1h=1085 S1h=897 | B6h=12806 S6h=9527
[2026-05-19 17:28:54] PRICE=0.00242300 | MC=2423640 | LIQ=125297 | B1h=1090 S1h=900 | B6h=12811 S6h=9530
[2026-05-19 17:28:59] PRICE=0.00242300 | MC=2423640 | LIQ=125297 | B1h=1090 S1h=900 | B6h=12811 S6h=9530
[2026-05-19 17:29:05] PRICE=0.00242300 | MC=2423640 | LIQ=125297 | B1h=1090 S1h=900 | B6h=12811 S6h=9530
[2026-05-19 17:29:10] PRICE=0.00242300 | MC=2423640 | LIQ=125297 | B1h=1090 S1h=900 | B6h=12811 S6h=9530
[2026-05-19 17:29:15] PRICE=0.00242300 | MC=2423640 | LIQ=125297 | B1h=1090 S1h=900 | B6h=12811 S6h=9530
[2026-05-19 17:29:20] PRICE=0.00242300 | MC=2423640 | LIQ=125297 | B1h=1090 S1h=900 | B6h=12811 S6h=9530
[2026-05-19 17:29:26] PRICE=0.00247300 | MC=2473945 | LIQ=126599 | B1h=1091 S1h=891 | B6h=12817 S6h=9536
[2026-05-19 17:29:31] PRICE=0.00247300 | MC=2473945 | LIQ=126599 | B1h=1091 S1h=891 | B6h=12817 S6h=9536
[2026-05-19 17:29:36] PRICE=0.00247300 | MC=2473945 | LIQ=126599 | B1h=1091 S1h=891 | B6h=12817 S6h=9536
[2026-05-19 17:29:41] PRICE=0.00247300 | MC=2473945 | LIQ=126599 | B1h=1091 S1h=891 | B6h=12817 S6h=9536
[2026-05-19 17:29:46] PRICE=0.00247300 | MC=2473945 | LIQ=126599 | B1h=1091 S1h=891 | B6h=12817 S6h=9536
[2026-05-19 17:29:52] PRICE=0.00247300 | MC=2473945 | LIQ=126599 | B1h=1091 S1h=891 | B6h=12817 S6h=9536
[2026-05-19 17:29:57] PRICE=0.00225600 | MC=2256310 | LIQ=120894 | B1h=1099 S1h=897 | B6h=12825 S6h=9542
